CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0200721,020072100,1,,,,,,
0200722,020072200,,1,,,,,
0200723,020072300,1,,,,,,
0200724,020072400,1,,,,,,
0200726,020072600,1,,,,,,
0200727,020072700,1,,,,,,
0200728,020072800,1,,,,,,
0200729,020072900,1,,,,,,
0200730,020073000,1,,,,,,
0200731,020073100,1,,,,,,
0200732,020073200,,1,1,,,,
0200733,020073300,1,,,,,,
0200735,020073500,1,,,,,,
0200736,020073600,1,,,,,,
0200737,020073700,1,,,,,,
0200737,020073701,1,,,,,,
0200737,020073702,1,,,,,,
0200737,020073703,1,,,,,,
0200738,020073800,1,,,,,,
0200739,020073900,1,,,,,,
0200740,020074000,1,,,,,,
0200741,020074100,1,,,,,,
0200742,020074200,1,,1,,,,
0200743,020074300,1,,,,,,
0200744,020074400,1,,,,,,
0200745,020074500,1,,,,,,
0200746,020074600,1,,,,,,
0200747,020074700,1,,,,,,
0200748,020074800,1,,,,,,
0200749,020074900,1,,,,,,
0200750,020075000,,1,,,,,
0200751,020075100,1,,,,,,
0200752,020075200,,1,,,,,
0200753,020075300,1,,,,,,
0200755,020075500,1,,1,,,,
0200756,020075600,1,,,,,,
0200757,020075700,1,,,,,,
0200758,020075800,1,,,,,,
0200760,020076000,1,,,,,,
0200761,020076100,1,,,,,,
0200762,020076200,1,,,,,,
0200763,020076300,1,,,,,,
0200765,020076500,1,,,,,,
0200766,020076600,1,,,,,,
0200767,020076700,1,,,,,,
0200768,020076800,1,,,,,,
0200769,020076900,1,,,,,,
0200770,020077000,1,1,,,,,
0200771,020077100,,1,,,,,
0200772,020077200,1,,,,,,
0200773,020077300,1,,,,,,
0200774,020077400,1,,,,,,
0200775,020077500,1,,,,,,
0200776,020077600,1,,1,,,,
0200777,020077700,1,,,,,,
0200778,020077800,1,,,,,,
0200779,020077900,1,,1,,,,
0200780,020078000,1,,,,,,
0200781,020078100,1,,,,,,
0200782,020078200,1,,,,,,
0200783,020078300,1,,,,,,
0200784,020078400,1,,,,,,
0200785,020078500,1,,,,,,
0200786,020078600,1,,,,,,
0200787,020078700,,1,,,,,
0200789,020078900,1,,,,,,
0200790,020079000,1,,,,,,
0200791,020079100,1,,,,,,
0200793,020079300,,1,,,,,
0200794,020079400,1,,,,,,
0200795,020079500,1,,,,,,
0200797,020079700,1,,,,,,
0200799,020079900,1,,,,,,
0200800,020080000,1,,,,,,
0200800,020080001,1,,,,,,
0200800,020080002,1,,,,,,
0200803,020080300,1,,,,,,
0200805,020080500,1,,,,,,
0200808,020080800,1,,,,,,
0200809,020080900,1,,,,,,
0200810,020081000,1,,,,,,
0200811,020081100,1,,,,,,
0200813,020081300,1,,,,,,
0200814,020081400,1,,,,,,
0200816,020081600,1,,,,,,
0200818,020081800,1,,,,,,
0200820,020082000,1,,,,,,
0200821,020082100,1,,,,,,
0200822,020082200,1,,,,,,
0200823,020082300,1,,,,,,
0200824,020082400,1,,,,,,
0200825,020082500,1,,,,,,
0200826,020082600,1,,,,,,
0200828,020082800,1,,,,,,
0200829,020082900,1,,,,,,
0200830,020083000,1,,,,,,
0200831,020083100,1,,,,,,
0200832,020083200,1,,,,,,
0200833,020083300,1,,,,,,
0200834,020083400,1,,,,,,
0200835,020083500,1,,,,,,
0200838,020083800,1,,,,,,
0200839,020083900,1,,,,,,
0200840,020084000,1,,,,,,
0200843,020084300,1,,,,,,
0200845,020084500,1,,,,,,
0200846,020084600,1,,,,,,
0200848,020084800,1,,,,,,
0200848,020084801,1,,,,,,
0200848,020084802,1,,,,,,
0200848,020084803,1,,,,,,
0200848,020084804,1,,,,,,
0200849,020084900,1,,,,,,
0200850,020085000,1,,,,,,
0200851,020085100,,1,,,,,
0200852,020085200,1,,,,,,
0200853,020085300,1,,1,,,,
0200854,020085400,1,,,,,,
0200855,020085500,1,,,,,,
0200856,020085600,1,,,,,,
0200858,020085800,,1,,,,,
0200859,020085900,1,,1,,,,
0200860,020086000,1,,,,,,
0200862,020086200,1,,,,,,
0200864,020086400,1,,,,,,
0200865,020086500,1,,,,,,
0200866,020086600,1,,,,,,
0200867,020086700,1,,,,,,
0200868,020086800,1,,,,,,
0200869,020086900,1,,,,,,
0200870,020087000,1,,,,,,
0200871,020087100,1,,,,,,
0200872,020087200,1,,,,,,
0200872,020087201,1,,,,,,
0200872,020087202,1,,,,,,
0200873,020087300,1,,,,,,
0200874,020087400,1,,,,,,
0200875,020087500,1,,,,,,
0200876,020087600,1,,,,,,
0200877,020087700,1,,,,,,
0200878,020087800,1,,,,,,
0200879,020087900,1,,,,,,
0200879,020087902,1,,,,,,
0200879,020087903,1,,,,,,
0200880,020088000,1,,,,,,
0200881,020088100,1,,,,,,
0200882,020088200,1,,,,,,
0200883,020088300,1,,,,,,
0200884,020088400,1,,,,,,
0200885,020088500,1,,,,,,
0200886,020088600,1,,,,,,
0200887,020088700,1,,,,,,
0200888,020088800,1,,,,,,
0200889,020088900,1,,,,,,
0200890,020089000,1,,,,,,
0200891,020089100,1,,,,,,
0200892,020089200,1,,,,,,
0200893,020089300,1,,,,,,
0200894,020089400,1,,,,,,
0200895,020089500,1,,,,,,
0200895,020089501,1,,,,,,
0200895,020089502,1,,,,,,
0200896,020089600,1,,,,,,
0200897,020089700,1,,,,,,
0200898,020089800,1,,,,,,
0200899,020089900,1,,,,,,
0200901,020090100,1,,,,,,
0200902,020090200,1,,,,,,
0200903,020090300,1,,,,,,
0200904,020090400,1,,,,,,
0200905,020090500,,1,,,,,
0200906,020090600,1,,,,,,
0200907,020090700,1,,,,,,
0200909,020090900,1,,,,,,
0200910,020091000,1,,,,,,
0200911,020091100,1,,,,,,
0200912,020091200,1,,,,,,
0200914,020091400,1,,,,,,
0200916,020091600,1,,,,,,
0200918,020091800,1,,,,,,
0200920,020092000,1,,,,,,
0200921,020092100,1,,,,,,
0200922,020092200,1,,,,,,
0200925,020092500,1,,,,,,
0200926,020092600,1,,,,,,
0200927,020092700,1,,,,,,
0200928,020092800,1,,,,,,
0200929,020092900,1,,,,,,
0200930,020093000,1,,,,,,
0200930,020093001,1,,,,,,
0200931,020093100,1,,,,,,
0200931,020093101,1,,,,,,
0200931,020093102,1,,,,,,
0200931,020093103,1,,,,,,
0200931,020093104,1,,,,,,
0200931,020093105,1,,,,,,
0200932,020093200,1,,,,,,
0200933,020093300,1,,,,,,
0200934,020093400,1,,,,,,
0200935,020093500,1,,,,,,
0200936,020093600,1,,,,,,
0200937,020093700,,,,,1,,
0200938,020093800,1,,,,,,
0200939,020093900,1,,,,,,
0200940,020094000,1,,,,,,
0200941,020094100,1,,,,,,
0200942,020094200,1,,,,,,
0200943,020094300,1,,1,,,,
0200944,020094400,1,,1,,,,
0200945,020094500,1,,,,,,
0200947,020094700,1,,,,,,
0200948,020094800,1,,,,,,
0200949,020094900,1,,,,,,
0200950,020095000,1,,,,,,
0200951,020095100,1,,,,,,
0200952,020095200,,1,,,1,,
0200953,020095300,1,,,,,,
0200954,020095400,1,,,,,,
0200954,020095401,1,,,,,,
0200954,020095402,1,,,,,,
0200955,020095500,1,,,,,,
0200956,020095600,1,,,,,,
0200957,020095700,1,,,,,,
0200958,020095800,1,,,,,,
0200959,020095900,1,,,,,,
0200960,020096000,1,,,,,,
0200961,020096100,1,,,,,,
0200962,020096200,1,,,,,,
0200963,020096300,,,1,,,,
